row_count,col_count,inner_count,density,flops,memops,time
32,32,32,0.000000,0,64,507
32,32,32,0.001000,0,72,509
32,32,32,0.002000,4,88,517
32,32,32,0.003000,4,84,513
32,32,32,0.004000,0,92,521
32,32,32,0.005000,0,84,517
32,32,32,0.006000,10,108,529
32,32,32,0.007000,4,104,525
32,32,32,0.008000,4,112,525
32,32,32,0.009000,10,144,537
32,32,32,0.010000,2,92,521
32,32,32,0.020000,32,208,562
32,32,32,0.030000,32,236,572
32,32,32,0.040000,74,352,612
32,32,32,0.050000,112,436,626
32,32,32,0.060000,190,684,710
32,32,32,0.070000,342,1036,791
32,32,32,0.080000,446,1264,866
32,32,32,0.090000,546,1536,941
32,32,32,0.100000,652,1768,1008
