row_count,col_count,inner_count,density,flops,memops
1024,1024,1024,0.000000,2147483648,2148532224
1024,1024,1024,0.001000,2147483648,2148532224
1024,1024,1024,0.002000,2147483648,2148532224
1024,1024,1024,0.003000,2147483648,2148532224
1024,1024,1024,0.004000,2147483648,2148532224
1024,1024,1024,0.005000,2147483648,2148532224
1024,1024,1024,0.006000,2147483648,2148532224
1024,1024,1024,0.007000,2147483648,2148532224
1024,1024,1024,0.008000,2147483648,2148532224
1024,1024,1024,0.009000,2147483648,2148532224
1024,1024,1024,0.010000,2147483648,2148532224
1024,1024,1024,0.020000,2147483648,2148532224
1024,1024,1024,0.030000,2147483648,2148532224
1024,1024,1024,0.040000,2147483648,2148532224
1024,1024,1024,0.050000,2147483648,2148532224
1024,1024,1024,0.060000,2147483648,2148532224
1024,1024,1024,0.070000,2147483648,2148532224
1024,1024,1024,0.080000,2147483648,2148532224
1024,1024,1024,0.090000,2147483648,2148532224
1024,1024,1024,0.100000,2147483648,2148532224
1024,1024,1024,0.110000,2147483648,2148532224
1024,1024,1024,0.210000,2147483648,2148532224
1024,1024,1024,0.310000,2147483648,2148532224
1024,1024,1024,0.410000,2147483648,2148532224
1024,1024,1024,0.510000,2147483648,2148532224
1024,1024,1024,0.610000,2147483648,2148532224
1024,1024,1024,0.710000,2147483648,2148532224
1024,1024,1024,0.810000,2147483648,2148532224
1024,1024,1024,0.910000,2147483648,2148532224
1024,1024,1024,1.010000,2147483648,2148532224
